player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Dan Bailey,Vikings,K,2019,1,1.0,0.25,1.0,0.5
Cairo Santos,Buccaneers,K,2019,1,1.0,0.195,1.0,0.5
Matt Gay,Raiders,K,2026,1,1.6,1.35,1.6,0.5
Kai Forbath,Rams,K,2020,1,1.05,0.0,1.05,0.5
Nick Folk,Patriots,K,2020,1,1.05,0.0,1.05,0.5
Mike Nugent,Cardinals,K,2020,1,1.05,0.0,1.05,0.5
Ryan Succop,Buccaneers,K,2020,1,1.05,0.0,1.05,0.5
Cade York,Browns,K,2022,4,4.38964,0.72964,1.09741,0.5
Evan McPherson,Bengals,K,2021,4,3.823716,0.343716,0.955929,0.5
Randy Bullock,Giants,K,2023,1,1.165,0.0,1.165,0.5
Chad Ryland,Patriots,K,2023,4,4.626748,0.786748,1.156687,0.5
Alex Henery,Eagles,K,2011,4,2.490115,0.420108,0.615027,0.5
Joey Slye,Jaguars,K,2024,1,1.2925,0.025,1.2925,0.5
Michael Badgley,Lions,K,2024,1,1.2925,0.425,1.2925,0.5
Greg Joseph,Packers,K,2024,1,1.2925,0.0,1.2925,0.5
Michael Badgley,IND/TEN,K,2021,1,0.92,0.0,0.92,0.5
Younghoe Koo,Falcons,K,2021,1,0.92,0.0,0.92,0.5
Mike Nugent,Cardinals,K,2009,1,0.62,0.0,0.62,0.5
Chase McLaughlin,Buccaneers,K,2023,1,1.13,0.1,1.13,0.5
Stephen Gostkowski,Patriots,K,2006,4,2.035,0.425,0.50875,0.5
Jake Moody,Commanders,K,2026,1,1.5,0.125,1.5,0.5
Michael Badgley,Lions,K,2022,1,1.035,0.0,1.035,0.5
Aldrick Rosas,Lions,K,2022,1,1.035,0.0,1.035,0.5
Joey Slye,Patriots,K,2024,1,1.2675,0.0,1.2675,0.5
Kai Forbath,Vikings,K,2016,2,1.535,0.0,0.7675,0.5
Kai Forbath,Cowboys,K,2019,1,0.93,0.0,0.93,0.5
Zane Gonzalez,Dolphins,K,2026,1,1.4875,0.1,1.4875,0.5
Jason Sanders,Giants,K,2026,1,1.4875,0.3,1.4875,0.5
Mike Nugent,Bengals,K,2010,2,1.27,0.0,0.635,0.5
Kai Forbath,Jaguars,K,2018,2,1.72,0.0,0.86,0.5
Alex Henery,Lions,K,2014,1,0.645,0.0,0.645,0.5
Michael Badgley,WAS/DET/TEN,K,2023,1,1.08,0.0,1.08,0.5
Brett Maher,Rams,K,2023,1,1.08,0.0,1.08,0.5
Brett Maher,Rams,K,2023,1,1.08,0.12,1.08,0.5
Brandon McManus,Packers,K,2024,1,1.21,0.0,1.21,0.5
Randy Bullock,Texans,K,2012,4,2.278108,0.178108,0.569527,0.5
Greg Zuerlein,Rams,K,2012,4,2.275473,0.12882,0.568868,0.5
Matt Bryant,IND/MIA/DAL,K,2004,1,0.38,0.0,0.38,0.5
Randy Bullock,Bengals,K,2017,2,1.565,0.0,0.7825,0.5
Caleb Sturgis,Dolphins,K,2013,4,2.30456,0.14456,0.57614,0.5
Joey Slye,Texans,K,2021,1,0.85,0.0,0.85,0.5
Sam Ficken,Jets,K,2021,1,0.85,0.0,0.85,0.5
Joey Slye,CAR/WAS,K,2021,1,0.85,0.0,0.85,0.5
Brett Maher,Cardinals,K,2021,1,0.85,0.0,0.85,0.5
Sam Ficken,Titans,K,2021,1,0.85,0.0,0.85,0.5
Brett Maher,Saints,K,2021,1,0.85,0.0,0.85,0.5
Joey Slye,49ers,K,2021,1,0.85,0.0,0.85,0.5
Riley Patterson,Dolphins,K,2026,1,1.4025,0.0,1.4025,0.5
Joey Slye,Titans,K,2025,1,1.295,0.025,1.295,0.5
Chase McLaughlin,Colts,K,2022,1,0.965,0.0,0.965,0.5
Brett Maher,Cowboys,K,2022,1,0.965,0.0,0.965,0.5
Chase McLaughlin,Browns,K,2022,1,0.965,0.0,0.965,0.5
Brett Maher,Cowboys,K,2022,1,0.965,0.0,0.965,0.5
John Potter,Lions,K,2014,2,1.23,0.0,0.615,0.5
Dustin Hopkins,Bills,K,2013,4,2.272,0.112,0.568,0.5
Blair Walsh,Vikings,K,2012,4,2.217932,0.117932,0.554483,0.5
Stephen Hauschka,Jaguars,K,2020,1,0.91,0.0,0.91,0.5
Cody Parkey,Browns,K,2020,1,0.91,0.0,0.91,0.5
Chandler Catanzaro,Giants,K,2020,1,0.91,0.0,0.91,0.5
Cairo Santos,Bears,K,2020,1,0.91,0.0,0.91,0.5
Matthew Wright,Jaguars,K,2021,2,1.675,0.0,0.8375,0.5
Matt McCrane,Browns,K,2021,2,1.675,0.0,0.8375,0.5
Rodrigo Blankenship,Cardinals,K,2022,2,1.905,0.0,0.9525,0.5
Matthew Wright,Steelers,K,2022,2,1.905,0.0,0.9525,0.5
Justin Rohrwasser,Patriots,K,2020,4,3.610396,0.315396,0.902599,0.5
Adam Vinatieri,Patriots,K,1998,1,0.238,0.0,0.238,0.5
Younghoe Koo,Giants,K,2025,1,1.255,0.0,1.255,0.4
Matt Prater,Bills,K,2025,1,1.255,0.0,1.255,0.4
Spencer Shrader,Colts,K,2025,2,2.51,0.75,1.255,0.4
Matthew Wright,Panthers,K,2023,1,1.01,0.0,1.01,0.4
Rodrigo Blankenship,Buccaneers,K,2023,1,1.01,0.0,1.01,0.4
Cairo Santos,TB/LAR,K,2018,1,0.79,0.0,0.79,0.4
Chandler Catanzaro,Panthers,K,2018,1,0.79,0.0,0.79,0.4
John Potter,Bills,K,2012,4,2.145896,0.045896,0.536474,0.4
Alex Kessman,Chargers,K,2021,3,2.435,0.01,0.811667,0.4
Chris Naggar,Jets,K,2021,3,2.434,0.028,0.811333,0.4
Anders Carlson,Packers,K,2023,4,3.996776,0.156776,0.999194,0.4
Blake Haubeil,Titans,K,2021,3,2.43,0.01,0.81,0.4
Riley Patterson,Vikings,K,2021,3,2.43,0.02,0.81,0.4
Tristan Vizcaino,Cowboys,K,2023,2,1.995,0.0,0.9975,0.4
Jose Borregales,Buccaneers,K,2021,3,2.4275,2500.0,0.809167,0.4
Quinn Nordin,Patriots,K,2021,3,2.425,0.0,0.808333,0.4
Brian Johnson,Bears,K,2021,3,2.425,0.0,0.808333,0.4
J.J. Molson,Packers,K,2021,3,2.425,0.0,0.808333,0.4
Jake Verity,Ravens,K,2021,3,2.425,0.0,0.808333,0.4
Matt Ammendola,Panthers,K,2021,3,2.425,0.0,0.808333,0.4
Greg Joseph,Jets,K,2024,1,1.125,0.0,1.125,0.4
Zane Gonzalez,Commanders,K,2024,1,1.125,0.0,1.125,0.4
Greg Joseph,Giants,K,2024,1,1.125,0.0,1.125,0.4
Austin Seibert,NYJ/WAS,K,2024,1,1.125,0.0,1.125,0.4
Caleb Sturgis,Eagles,K,2015,2,1.26,0.0,0.63,0.4
Tyler Bass,Bills,K,2020,4,3.479224,0.184224,0.869806,0.4
Randy Bullock,PIT/NYG/CIN,K,2016,1,0.675,0.0,0.675,0.4
Younghoe Koo,Jets,K,2026,1,1.3,0.0,1.3,0.4
Jason Sanders,Jets,K,2026,1,1.3,0.0,1.3,0.4
Riley Patterson,JAX/WAS,K,2024,1,1.1,0.0,1.1,0.4
Eddy Pineiro,Panthers,K,2022,1,0.895,0.0,0.895,0.4
Ryan Santoso,Giants,K,2022,1,0.895,0.0,0.895,0.4
Zach Hocker,Commanders,K,2014,4,2.280248,0.060248,0.570062,0.4
John Potter,Dolphins,K,2014,1,0.57,0.0,0.57,0.4
Nate Freese,Lions,K,2014,4,2.279424,0.059424,0.569856,0.4
Cody Parkey,Titans,K,2019,1,0.805,0.0,0.805,0.4
Blair Walsh,Falcons,K,2019,1,0.805,0.0,0.805,0.4
Kai Forbath,Patriots,K,2019,1,0.805,0.0,0.805,0.4
Cairo Santos,Titans,K,2019,1,0.805,0.0,0.805,0.4
