player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Jarvis Jones,Cardinals,EDGE,2017,1,2.25,1.0,2.25,1.3
Kroy Biermann,Falcons,EDGE,2015,1,1.925,0.5,1.925,1.3
Dante Fowler Jr.,Cowboys,EDGE,2023,1,3.0,1.0,3.0,1.3
Bud Dupree,Falcons,EDGE,2023,1,3.0,2.49,3.0,1.3
Nolan Smith,Eagles,EDGE,2023,4,11.992416,11.992416,2.998104,1.3
Al-Quadin Muhammad,Buccaneers,EDGE,2026,1,4.0,2.5,4.0,1.3
Charles Omenihu,Commanders,EDGE,2026,1,4.0,3.3,4.0,1.3
Courtney Brown,Broncos,EDGE,2006,4,5.4,1.055,1.35,1.3
Rasheem Green,Texans,EDGE,2022,1,2.75,1.0,2.75,1.3
Marquis Haynes,Panthers,EDGE,2022,2,5.5,2.035,2.75,1.3
Felix Anudike-Uzomah,Chiefs,EDGE,2023,4,11.81782,11.81782,2.954455,1.3
Dwight Freeney,Falcons,EDGE,2016,1,2.0,0.5,2.0,1.3
Emmanuel Ogbah,Dolphins,EDGE,2024,1,3.25,2.0,3.25,1.3
Dante Fowler Jr.,Commanders,EDGE,2024,1,3.25,1.43,3.25,1.3
Carl Granderson,Saints,EDGE,2022,2,5.265,0.24,2.6325,1.3
Jadeveon Clowney,Cowboys,EDGE,2025,1,3.5,1.25,3.5,1.3
Lorenzo Alexander,Cardinals,EDGE,2013,3,4.62,2.065,1.54,1.3
Tanoh Kpassagnon,Saints,EDGE,2021,2,4.5,2.0,2.25,1.2
Darrell Taylor,CHI/SEA,EDGE,2024,1,3.136,0.02,3.136,1.2
Margus Hunt,Colts,EDGE,2017,2,4.1,0.5,2.05,1.2
Tyquan Lewis,Colts,EDGE,2022,1,2.545,1.0,2.545,1.2
Willie Young,Lions,EDGE,2013,1,1.5,0.3,1.5,1.2
Jason Babin,Jets,EDGE,2014,2,3.2,0.0,1.6,1.2
Barkevious Mingo,Colts,EDGE,2017,1,2.0,1.0,2.0,1.2
Alex Okafor,Saints,EDGE,2017,1,2.0,1.0,2.0,1.2
Vinny Curry,Eagles,EDGE,2019,1,2.25,2.0,2.25,1.2
Eugene Sims,Rams,EDGE,2013,3,4.402175,0.500053,1.467392,1.2
Andrew Van Ginkel,Dolphins,EDGE,2023,1,2.65,2.26,2.65,1.2
Randy Gregory,Buccaneers,EDGE,2024,1,3.0,1.365,3.0,1.2
Joshua Uche,NE/KC,EDGE,2024,1,3.0,2.3,3.0,1.2
Bud Dupree,Chargers,EDGE,2024,2,6.0,2.745,3.0,1.2
Michael Hoecht,Rams,EDGE,2024,1,2.985,0.0,2.985,1.2
Malik Reed,PIT/DEN,EDGE,2022,1,2.433,0.0,2.433,1.2
Deatrich Wise,Commanders,EDGE,2025,1,3.25,2.35,3.25,1.2
Emmanuel Ogbah,Jaguars,EDGE,2025,1,3.25,2.0,3.25,1.2
Clark Haggans,Cardinals,EDGE,2008,1,1.35,0.35,1.35,1.2
Ronald Blair,49ers,EDGE,2020,1,2.2975,2.2975,2.2975,1.2
Mark Anderson,Patriots,EDGE,2011,1,1.375,0.375,1.375,1.1
Josh Martin,Jets,EDGE,2017,2,3.8,0.85,1.9,1.1
Justin Houston,Ravens,EDGE,2021,1,2.075,2.075,2.075,1.1
Kamalei Correa,Titans,EDGE,2020,1,2.25,1.25,2.25,1.1
Derrick Shelby,Falcons,EDGE,2018,1,2.0,2.0,2.0,1.1
Jeremy Mincey,Cowboys,EDGE,2014,2,3.0,1.7,1.5,1.1
Jadeveon Clowney,Ravens,EDGE,2023,1,2.505,2.165,2.505,1.1
Rasheem Green,Bears,EDGE,2023,1,2.5,0.85,2.5,1.1
Clelin Ferrell,49ers,EDGE,2023,1,2.5,1.24,2.5,1.1
Tanoh Kpassagnon,Saints,EDGE,2023,2,5.0,2.5,2.5,1.1
Romeo Okwara,Lions,EDGE,2023,1,2.5,2.0,2.5,1.1
Jacob Martin,Texans,EDGE,2023,1,2.5,1.0,2.5,1.1
John Simon,Patriots,EDGE,2019,2,4.15,1.65,2.075,1.1
Courtney Upshaw,Ravens,EDGE,2012,4,5.296698,3.587903,1.324175,1.1
Justin Houston,Ravens,EDGE,2022,1,2.283,0.0,2.283,1.1
Stephen Weatherly,MIN/DEN,EDGE,2021,1,2.0,0.5,2.0,1.1
T.J. Parker,Bills,EDGE,2026,4,13.140746,13.140746,3.285187,1.1
Kyle Van Noy,Chargers,EDGE,2022,1,2.25,2.25,2.25,1.1
John Simon,Texans,EDGE,2016,1,1.671,0.0,1.671,1.1
Branden Jackson,Seahawks,EDGE,2020,1,2.133,0.0,2.133,1.1
Rakeem Nunez-Roches,Colts,EDGE,2018,1,1.907,0.0,1.907,1.1
Chris McCain,Chargers,EDGE,2018,1,1.907,0.0,1.907,1.1
Matt Longacre,Rams,EDGE,2018,1,1.907,0.0,1.907,1.1
Anthony Chickillo,Steelers,EDGE,2018,1,1.907,0.0,1.907,1.1
Dion Jordan,Seahawks,EDGE,2018,1,1.907,0.0,1.907,1.1
Kerry Wynn,Giants,EDGE,2017,1,1.797,0.0,1.797,1.1
