year,pick,player_name,position,college,projected_team,source
2024,12,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,Quinyon Mitchell,,MOCK TRADE from LV,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Nate Wiggins,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,JC Latham,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Max Melton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Tyler Nubin,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Brian Thomas Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,Drake Maye,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,J.J. McCarthy,,MOCK TRADE from LAC,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,JC Latham,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,Quinyon Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Brian Thomas Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Byron Murphy II,,MOCK TRADE from HOU,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Tyler Guyton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Darius Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Ennis Rakestraw Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Ladd McConkey,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Nate Wiggins,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,J.J. McCarthy,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,Drake Maye,,MOCK TRADE from LAC,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,Quinyon Mitchell,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,JC Latham,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Brian Thomas Jr.,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Tyler Guyton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Ladd McConkey,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Nate Wiggins,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
