player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Rashid Shaheed,4032473,NO,WR,2022,receiving,2026-07-03T11:41:35.354918,12.0,28.0,34.0,6.0,40.7,1.0,0.0,170.0,18.0,488.0,2.0,17.4,68.0
Noah Fant,4036131,SEA,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,50.0,63.0,4.0,28.6,0.0,0.0,221.0,24.0,486.0,4.0,9.7,51.0
Nico Collins,4258173,HOU,WR,2022,receiving,2026-07-03T11:41:35.354918,10.0,37.0,66.0,8.0,48.1,0.0,0.0,163.0,21.0,481.0,2.0,13.0,58.0
Josh Reynolds,3115306,DET,WR,2022,receiving,2026-07-03T11:41:35.354918,14.0,38.0,59.0,8.0,34.2,0.0,0.0,115.0,25.0,479.0,3.0,12.6,31.0
Robert Tonyan,2975674,GB,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,53.0,67.0,6.0,27.6,0.0,0.0,230.0,20.0,470.0,2.0,8.9,24.0
Greg Dortch,4037235,ARI,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,52.0,64.0,5.0,29.2,0.0,0.0,293.0,19.0,467.0,2.0,9.0,47.0
Demarcus Robinson,3043116,BAL,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,48.0,75.0,4.0,26.9,2.0,1.0,150.0,23.0,458.0,2.0,9.5,31.0
Chase Claypool,4046692,PIT/CHI,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,46.0,79.0,7.0,30.1,1.0,1.0,143.0,24.0,451.0,1.0,9.8,31.0
Chig Okonkwo,4360635,TEN,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,32.0,46.0,7.0,26.5,0.0,0.0,254.0,22.0,450.0,3.0,14.1,48.0
Elijah Moore,4372414,NYJ,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,37.0,65.0,8.0,27.9,1.0,0.0,111.0,22.0,446.0,1.0,12.1,42.0
Austin Hooper,3043275,TEN,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,41.0,60.0,2.0,26.1,0.0,0.0,134.0,28.0,444.0,2.0,10.8,24.0
Treylon Burks,4567156,TEN,WR,2022,receiving,2026-07-03T11:41:35.354918,11.0,33.0,54.0,8.0,40.4,0.0,0.0,161.0,19.0,444.0,1.0,13.5,51.0
Joe Mixon,3116385,CIN,RB,2022,receiving,2026-07-03T11:41:35.354918,14.0,60.0,75.0,4.0,31.5,0.0,0.0,468.0,16.0,441.0,2.0,7.3,35.0
Kendrick Bourne,3045523,NE,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,35.0,48.0,6.0,27.1,2.0,0.0,145.0,22.0,434.0,1.0,12.4,41.0
Russell Gage Jr.,3115378,TB,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,51.0,70.0,3.0,32.8,1.0,1.0,171.0,31.0,426.0,5.0,8.4,23.0
Romeo Doubs,4361432,GB,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,42.0,67.0,7.0,32.7,2.0,1.0,196.0,20.0,425.0,3.0,10.1,26.0
Michael Gallup,4036348,DAL,WR,2022,receiving,2026-07-03T11:41:35.354918,14.0,39.0,74.0,4.0,30.3,0.0,0.0,107.0,25.0,424.0,4.0,10.9,27.0
Isaiah McKenzie,3128724,BUF,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,42.0,65.0,4.0,28.2,0.0,0.0,128.0,27.0,423.0,4.0,10.1,30.0
Rhamondre Stevenson,4569173,NE,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,69.0,88.0,3.0,24.8,2.0,0.0,474.0,13.0,421.0,1.0,6.1,40.0
Foster Moreau,3843945,LV,TE,2022,receiving,2026-07-03T11:41:35.354918,15.0,33.0,54.0,7.0,28.0,0.0,0.0,237.0,24.0,420.0,2.0,12.7,33.0
Randall Cobb,14053,GB,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,34.0,50.0,7.0,32.1,1.0,0.0,185.0,19.0,417.0,1.0,12.3,40.0
Trent Sherfield,3122168,MIA,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,30.0,51.0,5.0,24.5,0.0,0.0,145.0,18.0,417.0,2.0,13.9,75.0
Jauan Jennings,3886598,SF,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,35.0,56.0,3.0,26.0,1.0,0.0,176.0,23.0,416.0,1.0,11.9,44.0
